Strategy report
Symbol: /NQ:XCME
Work Time: 10/16/22, 5:00 PM - 10/21/22, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(10738.75|10745.5|10731.5|10738.75|10739.55|240);Buy to Open;0;0.0;$1.00;10/16/22, 5:00 PM;;$0.00;0.0;
2;A(10738.5|10743|10736.25|10739|10739.53|222);Buy to Open;0;0.0;$1.00;10/16/22, 5:00 PM;;$0.00;0.0;
3;A(10739|10765.25|10739|10762.75|10752.77|214);Buy to Open;0;0.0;$1.00;10/16/22, 5:01 PM;;$0.00;0.0;
4;A(10762.5|10772.75|10761|10771|10767.17|211);Buy to Open;0;0.0;$1.00;10/16/22, 5:01 PM;;$0.00;0.0;
5;A(10770|10772.25|10762.75|10767.25|10768.11|215);Buy to Open;0;0.0;$1.00;10/16/22, 5:02 PM;;$0.00;0.0;
6;A(10767.5|10775|10760.75|10773.25|10768.52|210);Buy to Open;0;0.0;$1.00;10/16/22, 5:03 PM;;$0.00;0.0;
7;A(10773.75|10775|10764.5|10768.25|10769.43|236);Buy to Open;0;0.0;$1.00;10/16/22, 5:04 PM;;$0.00;0.0;
8;A(10768.5|10785|10768.5|10785|10777.08|219);Buy to Open;0;0.0;$1.00;10/16/22, 5:06 PM;;$0.00;0.0;
9;A(10783.5|10790|10781.5|10783.25|10785.47|211);Buy to Open;0;0.0;$1.00;10/16/22, 5:06 PM;;$0.00;0.0;
10;A(10783.25|10785.75|10777.75|10783.75|10781.61|216);Buy to Open;0;0.0;$1.00;10/16/22, 5:07 PM;;$0.00;0.0;
11;A(10784.25|10786.25|10780|10784.75|10783.82|210);Buy to Open;0;0.0;$1.00;10/16/22, 5:09 PM;;$0.00;0.0;
12;A(10784.5|10787.75|10781|10785.75|10784.3|225);Buy to Open;0;0.0;$1.00;10/16/22, 5:12 PM;;$0.00;0.0;
13;A(10785.5|10785.75|10771.75|10775|10777.04|208);Buy to Open;0;0.0;$1.00;10/16/22, 5:15 PM;;$0.00;0.0;
14;A(10775.75|10777.5|10768.5|10775|10773.31|220);Buy to Open;0;0.0;$1.00;10/16/22, 5:17 PM;;$0.00;0.0;
15;A(10775|10775.25|10769.25|10771.25|10772.11|300);Buy to Open;0;0.0;$1.00;10/16/22, 5:20 PM;;$0.00;0.0;
16;A(10771.5|10780.5|10771.25|10780.5|10775.12|256);Buy to Open;0;0.0;$1.00;10/16/22, 5:24 PM;;$0.00;0.0;
17;A(10780.25|10791.5|10779|10788.75|10785.48|213);Buy to Open;0;0.0;$1.00;10/16/22, 5:25 PM;;$0.00;0.0;
18;A(10789.25|10799|10789.25|10794.75|10794.2|213);Buy to Open;0;0.0;$1.00;10/16/22, 5:26 PM;;$0.00;0.0;
19;A(10794.25|10795.5|10790.5|10792|10792.51|332);Buy to Open;0;0.0;$1.00;10/16/22, 5:27 PM;;$0.00;0.0;
20;A(10792|10798.75|10790.75|10793.25|10793.52|333);Buy to Open;0;0.0;$1.00;10/16/22, 5:28 PM;;$0.00;0.0;
21;A(10793|10801|10788.25|10801|10795.16|209);Buy to Open;0;0.0;$1.00;10/16/22, 5:29 PM;;$0.00;0.0;
22;A(10801|10801|10790|10792.25|10793.98|254);Buy to Open;0;0.0;$1.00;10/16/22, 5:31 PM;;$0.00;0.0;
23;A(10792.5|10796.75|10789.5|10796.5|10792.51|275);Buy to Open;0;0.0;$1.00;10/16/22, 5:32 PM;;$0.00;0.0;
24;A(10796.5|10800|10791.25|10799.5|10795.99|230);Buy to Open;0;0.0;$1.00;10/16/22, 5:34 PM;;$0.00;0.0;
25;A(10800|10803|10790.25|10790.5|10795.58|208);Buy to Open;0;0.0;$1.00;10/16/22, 5:38 PM;;$0.00;0.0;
26;A(10791|10793|10787|10791.25|10789.74|203);Buy to Open;0;0.0;$1.00;10/16/22, 5:40 PM;;$0.00;0.0;
27;A(10791|10801.75|10790.75|10798|10798.16|222);Buy to Open;0;0.0;$1.00;10/16/22, 5:45 PM;;$0.00;0.0;
28;A(10798.25|10800.75|10795.25|10796.25|10798.38|218);Buy to Open;0;0.0;$1.00;10/16/22, 5:48 PM;;$0.00;0.0;
29;A(10795.75|10798|10789|10790.75|10793.1|207);Buy to Open;0;0.0;$1.00;10/16/22, 5:52 PM;;$0.00;0.0;
30;A(10791.75|10795.25|10788.25|10792|10792.11|207);Buy to Open;0;0.0;$1.00;10/16/22, 5:55 PM;;$0.00;0.0;
31;A(10792|10796|10790.25|10795.5|10793.43|215);Buy to Open;0;0.0;$1.00;10/16/22, 5:58 PM;;$0.00;0.0;
32;A(10795|10795.25|10788.5|10788.75|10792.2|218);Buy to Open;0;0.0;$1.00;10/16/22, 6:03 PM;;$0.00;0.0;
33;A(10789|10792.75|10785.75|10789|10789.28|226);Buy to Open;0;0.0;$1.00;10/16/22, 6:08 PM;;$0.00;0.0;
34;A(10789.25|10794|10786.5|10793.25|10790.27|225);Buy to Open;0;0.0;$1.00;10/16/22, 6:12 PM;;$0.00;0.0;
35;A(10793|10793.25|10783.25|10783.25|10787.69|230);Buy to Open;0;0.0;$1.00;10/16/22, 6:15 PM;;$0.00;0.0;
36;A(10783.25|10783.75|10775.25|10780|10779.46|224);Buy to Open;0;0.0;$1.00;10/16/22, 6:20 PM;;$0.00;0.0;
37;A(10780|10786|10778.25|10779.25|10781.9|206);Buy to Open;0;0.0;$1.00;10/16/22, 6:21 PM;;$0.00;0.0;
38;A(10779|10780.25|10775.25|10775.5|10777.61|224);Buy to Open;0;0.0;$1.00;10/16/22, 6:24 PM;;$0.00;0.0;
39;A(10775.25|10780.25|10773.25|10779.5|10776.71|233);Buy to Open;0;0.0;$1.00;10/16/22, 6:25 PM;;$0.00;0.0;
40;A(10779.5|10782|10777.5|10780.25|10779.87|216);Buy to Open;0;0.0;$1.00;10/16/22, 6:27 PM;;$0.00;0.0;
41;A(10780.25|10782|10776.75|10779.5|10779.65|215);Buy to Open;0;0.0;$1.00;10/16/22, 6:30 PM;;$0.00;0.0;
42;A(10779.75|10782|10779.5|10781.25|10780.38|219);Buy to Open;0;0.0;$1.00;10/16/22, 6:33 PM;;$0.00;0.0;
43;A(10781.25|10788.25|10773.75|10788.25|10780.55|205);Buy to Open;0;0.0;$1.00;10/16/22, 6:34 PM;;$0.00;0.0;
44;A(10787.25|10794|10787|10787|10790.65|208);Buy to Open;0;0.0;$1.00;10/16/22, 6:35 PM;;$0.00;0.0;
45;A(10787.75|10789|10784.25|10787.75|10786.82|214);Buy to Open;0;0.0;$1.00;10/16/22, 6:36 PM;;$0.00;0.0;
