Strategy report
Symbol: /NQ:XCME
Work Time: 2/12/23, 5:00 PM - 2/17/23, 3:57 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(12354.25|12357|12342|12342|12349.89|230);Buy to Open;0;0.0;$1.00;2/12/23, 5:00 PM;;$0.00;0.0;
2;A(12342|12345.75|12331|12331.75|12338.03|207);Buy to Open;0;0.0;$1.00;2/12/23, 5:00 PM;;$0.00;0.0;
3;A(12331.5|12341|12329.25|12329.25|12334.96|233);Buy to Open;0;0.0;$1.00;2/12/23, 5:01 PM;;$0.00;0.0;
4;A(12328.25|12328.25|12319|12323|12322.35|242);Buy to Open;0;0.0;$1.00;2/12/23, 5:02 PM;;$0.00;0.0;
5;A(12322.75|12325.5|12319|12320|12322.36|214);Buy to Open;0;0.0;$1.00;2/12/23, 5:03 PM;;$0.00;0.0;
6;A(12319.25|12322|12311.5|12320.5|12317.26|220);Buy to Open;0;0.0;$1.00;2/12/23, 5:04 PM;;$0.00;0.0;
7;A(12320.75|12320.75|12311.5|12313|12315.43|222);Buy to Open;0;0.0;$1.00;2/12/23, 5:05 PM;;$0.00;0.0;
8;A(12313|12314.25|12308.75|12313.75|12311.46|241);Buy to Open;0;0.0;$1.00;2/12/23, 5:07 PM;;$0.00;0.0;
9;A(12314|12318.75|12310|12317.25|12314.78|206);Buy to Open;0;0.0;$1.00;2/12/23, 5:09 PM;;$0.00;0.0;
10;A(12317.5|12322.25|12311|12322|12317.83|223);Buy to Open;0;0.0;$1.00;2/12/23, 5:11 PM;;$0.00;0.0;
11;A(12321.25|12323.5|12316.75|12317.5|12321.05|231);Buy to Open;0;0.0;$1.00;2/12/23, 5:15 PM;;$0.00;0.0;
12;A(12317.75|12319.75|12311|12318|12315.98|214);Buy to Open;0;0.0;$1.00;2/12/23, 5:19 PM;;$0.00;0.0;
13;A(12318|12319.5|12311|12311|12315.82|210);Buy to Open;0;0.0;$1.00;2/12/23, 5:22 PM;;$0.00;0.0;
14;A(12310.75|12311|12302.5|12302.5|12305.99|231);Buy to Open;0;0.0;$1.00;2/12/23, 5:27 PM;;$0.00;0.0;
15;A(12302.25|12304.75|12298.25|12304.25|12301.26|207);Buy to Open;0;0.0;$1.00;2/12/23, 5:28 PM;;$0.00;0.0;
