Strategy report
Symbol: /NQ:XCME
Work Time: 5/15/22, 5:00 PM - 5/20/22, 3:58 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(12404.25|12404.5|12391.75|12399.25|12398.41|215);Buy to Open;0;0.0;$1.00;5/15/22, 5:00 PM;;$0.00;0.0;
2;A(12396.5|12407.5|12389.5|12403.75|12401.13|252);Buy to Open;0;0.0;$1.00;5/15/22, 5:00 PM;;$0.00;0.0;
3;A(12404.5|12407.5|12400.25|12403|12402.67|219);Buy to Open;0;0.0;$1.00;5/15/22, 5:00 PM;;$0.00;0.0;
4;A(12403.25|12411.5|12400.25|12410.25|12405.69|216);Buy to Open;0;0.0;$1.00;5/15/22, 5:01 PM;;$0.00;0.0;
5;A(12411.5|12425.75|12411|12425.75|12416.41|260);Buy to Open;0;0.0;$1.00;5/15/22, 5:02 PM;;$0.00;0.0;
6;A(12426|12442|12421|12438.25|12432.5|230);Buy to Open;0;0.0;$1.00;5/15/22, 5:03 PM;;$0.00;0.0;
7;A(12438|12461.75|12437.5|12458.5|12452.32|270);Buy to Open;0;0.0;$1.00;5/15/22, 5:03 PM;;$0.00;0.0;
8;A(12458.5|12459.5|12447.75|12450|12454.01|229);Buy to Open;0;0.0;$1.00;5/15/22, 5:03 PM;;$0.00;0.0;
9;A(12451.25|12464|12451.25|12464|12457.08|228);Buy to Open;0;0.0;$1.00;5/15/22, 5:04 PM;;$0.00;0.0;
10;A(12464|12478|12462|12478|12468.57|240);Buy to Open;0;0.0;$1.00;5/15/22, 5:04 PM;;$0.00;0.0;
11;A(12478.5|12479.75|12460|12460|12470.17|225);Buy to Open;0;0.0;$1.00;5/15/22, 5:05 PM;;$0.00;0.0;
12;A(12459.75|12462.5|12456|12462.25|12458.95|223);Buy to Open;0;0.0;$1.00;5/15/22, 5:05 PM;;$0.00;0.0;
13;A(12462.75|12465.5|12448.75|12448.75|12456.41|253);Buy to Open;0;0.0;$1.00;5/15/22, 5:07 PM;;$0.00;0.0;
14;A(12450.25|12462.75|12450.25|12462.75|12457.67|257);Buy to Open;0;0.0;$1.00;5/15/22, 5:07 PM;;$0.00;0.0;
15;A(12463.25|12473.25|12461.75|12473.25|12466.86|232);Buy to Open;0;0.0;$1.00;5/15/22, 5:09 PM;;$0.00;0.0;
16;A(12473.5|12485.25|12469|12485.25|12476.5|245);Buy to Open;0;0.0;$1.00;5/15/22, 5:11 PM;;$0.00;0.0;
17;A(12485.25|12488.5|12480.25|12480.25|12484.7|213);Buy to Open;0;0.0;$1.00;5/15/22, 5:12 PM;;$0.00;0.0;
18;A(12480.25|12480.25|12470|12470|12476.65|292);Buy to Open;0;0.0;$1.00;5/15/22, 5:13 PM;;$0.00;0.0;
19;A(12469.75|12484.25|12467.75|12484.25|12473.29|207);Buy to Open;0;0.0;$1.00;5/15/22, 5:15 PM;;$0.00;0.0;
20;A(12484.25|12488|12481.75|12482.75|12484.64|247);Buy to Open;0;0.0;$1.00;5/15/22, 5:15 PM;;$0.00;0.0;
21;A(12482.25|12486|12474|12476.75|12478.66|250);Buy to Open;0;0.0;$1.00;5/15/22, 5:17 PM;;$0.00;0.0;
22;A(12476.75|12478.5|12468.5|12474.25|12472.55|276);Buy to Open;0;0.0;$1.00;5/15/22, 5:18 PM;;$0.00;0.0;
23;A(12473.75|12475.5|12465.75|12467|12469.34|294);Buy to Open;0;0.0;$1.00;5/15/22, 5:19 PM;;$0.00;0.0;
24;A(12466.75|12476|12464|12476|12468.43|262);Buy to Open;0;0.0;$1.00;5/15/22, 5:21 PM;;$0.00;0.0;
