Strategy report
Symbol: /NQ:XCME
Work Time: 11/13/22, 5:00 PM - 11/18/22, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(11787.75|11788|11776.25|11776.5|11782.59|254);Buy to Open;0;0.0;$1.00;11/13/22, 5:00 PM;;$0.00;0.0;
2;A(11776.25|11784.25|11775.5|11780.25|11779.85|222);Buy to Open;0;0.0;$1.00;11/13/22, 5:00 PM;;$0.00;0.0;
3;A(11779.75|11783|11769.5|11769.75|11776.26|237);Buy to Open;0;0.0;$1.00;11/13/22, 5:00 PM;;$0.00;0.0;
4;A(11769|11774|11767.75|11774|11770.19|247);Buy to Open;0;0.0;$1.00;11/13/22, 5:01 PM;;$0.00;0.0;
5;A(11773.75|11778.25|11769|11773.75|11773.57|227);Buy to Open;0;0.0;$1.00;11/13/22, 5:01 PM;;$0.00;0.0;
6;A(11774|11776|11768.5|11776|11772.02|233);Buy to Open;0;0.0;$1.00;11/13/22, 5:02 PM;;$0.00;0.0;
7;A(11775.25|11786.5|11772.75|11786.25|11780.06|214);Buy to Open;0;0.0;$1.00;11/13/22, 5:03 PM;;$0.00;0.0;
8;A(11785.75|11794.75|11785.25|11786.75|11790.65|216);Buy to Open;0;0.0;$1.00;11/13/22, 5:03 PM;;$0.00;0.0;
9;A(11786.5|11795.25|11786.5|11794.75|11790.79|235);Buy to Open;0;0.0;$1.00;11/13/22, 5:04 PM;;$0.00;0.0;
10;A(11795|11798.75|11790.75|11790.75|11795.01|209);Buy to Open;0;0.0;$1.00;11/13/22, 5:04 PM;;$0.00;0.0;
11;A(11790.5|11791.5|11785|11785|11787.27|260);Buy to Open;0;0.0;$1.00;11/13/22, 5:05 PM;;$0.00;0.0;
12;A(11785|11793|11783.5|11793|11787.3|213);Buy to Open;0;0.0;$1.00;11/13/22, 5:07 PM;;$0.00;0.0;
13;A(11793|11793.25|11781.5|11784.25|11786.18|244);Buy to Open;0;0.0;$1.00;11/13/22, 5:08 PM;;$0.00;0.0;
14;A(11784.5|11787.5|11781.75|11782.75|11783.9|213);Buy to Open;0;0.0;$1.00;11/13/22, 5:09 PM;;$0.00;0.0;
15;A(11781.75|11785.25|11777.75|11785.25|11781.02|216);Buy to Open;0;0.0;$1.00;11/13/22, 5:11 PM;;$0.00;0.0;
16;A(11784.75|11789.25|11782.5|11789.25|11786.03|209);Buy to Open;0;0.0;$1.00;11/13/22, 5:14 PM;;$0.00;0.0;
17;A(11789.5|11792|11788|11791|11789.95|222);Buy to Open;0;0.0;$1.00;11/13/22, 5:17 PM;;$0.00;0.0;
18;A(11791|11791|11785.25|11789.75|11787.8|250);Buy to Open;0;0.0;$1.00;11/13/22, 5:20 PM;;$0.00;0.0;
19;A(11789.75|11798.25|11789|11797.5|11793.11|218);Buy to Open;0;0.0;$1.00;11/13/22, 5:23 PM;;$0.00;0.0;
20;A(11797.75|11806|11797.75|11804|11802.49|207);Buy to Open;0;0.0;$1.00;11/13/22, 5:24 PM;;$0.00;0.0;
21;A(11804|11812.25|11801.25|11812.25|11805.18|226);Buy to Open;0;0.0;$1.00;11/13/22, 5:25 PM;;$0.00;0.0;
22;A(11811.25|11814|11804.5|11805.25|11810.24|233);Buy to Open;0;0.0;$1.00;11/13/22, 5:26 PM;;$0.00;0.0;
23;A(11804.5|11816|11802.5|11816|11810.78|226);Buy to Open;0;0.0;$1.00;11/13/22, 5:28 PM;;$0.00;0.0;
24;A(11816|11816.25|11803.5|11806.5|11809.97|208);Buy to Open;0;0.0;$1.00;11/13/22, 5:29 PM;;$0.00;0.0;
25;A(11806.25|11806.25|11797.75|11800.25|11801.79|221);Buy to Open;0;0.0;$1.00;11/13/22, 5:30 PM;;$0.00;0.0;
26;A(11800|11804|11796|11796|11801.19|211);Buy to Open;0;0.0;$1.00;11/13/22, 5:33 PM;;$0.00;0.0;
27;A(11796|11801|11792.25|11801|11796.34|213);Buy to Open;0;0.0;$1.00;11/13/22, 5:35 PM;;$0.00;0.0;
28;A(11801|11810.25|11800.5|11809.75|11804.59|224);Buy to Open;0;0.0;$1.00;11/13/22, 5:38 PM;;$0.00;0.0;
29;A(11809.75|11813.5|11805.5|11806|11810.04|204);Buy to Open;0;0.0;$1.00;11/13/22, 5:42 PM;;$0.00;0.0;
30;A(11805.5|11805.5|11800|11802.25|11802.34|217);Buy to Open;0;0.0;$1.00;11/13/22, 5:43 PM;;$0.00;0.0;
31;A(11803.5|11813|11803|11812|11809.36|209);Buy to Open;0;0.0;$1.00;11/13/22, 5:45 PM;;$0.00;0.0;
32;A(11812|11817|11811.5|11813|11814.46|222);Buy to Open;0;0.0;$1.00;11/13/22, 5:47 PM;;$0.00;0.0;
33;A(11813|11814.25|11799.75|11804.25|11806.7|207);Buy to Open;0;0.0;$1.00;11/13/22, 5:48 PM;;$0.00;0.0;
34;A(11805|11813.75|11801.75|11813|11807.4|218);Buy to Open;0;0.0;$1.00;11/13/22, 5:51 PM;;$0.00;0.0;
35;A(11812.5|11818.5|11810.75|11812.75|11814.62|213);Buy to Open;0;0.0;$1.00;11/13/22, 5:54 PM;;$0.00;0.0;
36;A(11811.75|11814.25|11806.5|11808.25|11810.63|206);Buy to Open;0;0.0;$1.00;11/13/22, 5:56 PM;;$0.00;0.0;
37;A(11808.75|11817.75|11808.5|11817|11812.85|210);Buy to Open;0;0.0;$1.00;11/13/22, 6:00 PM;;$0.00;0.0;
38;A(11816.75|11822|11816|11818.5|11818.82|234);Buy to Open;0;0.0;$1.00;11/13/22, 6:02 PM;;$0.00;0.0;
39;A(11818|11820.75|11814|11814.5|11816.79|209);Buy to Open;0;0.0;$1.00;11/13/22, 6:03 PM;;$0.00;0.0;
40;A(11813.5|11813.5|11807.25|11808.75|11810.02|214);Buy to Open;0;0.0;$1.00;11/13/22, 6:05 PM;;$0.00;0.0;
41;A(11808.75|11809.25|11802|11803.5|11804.98|220);Buy to Open;0;0.0;$1.00;11/13/22, 6:08 PM;;$0.00;0.0;
42;A(11803.5|11810|11803.25|11807.75|11806.78|221);Buy to Open;0;0.0;$1.00;11/13/22, 6:10 PM;;$0.00;0.0;
43;A(11807.75|11810.25|11797|11798.25|11802.25|239);Buy to Open;0;0.0;$1.00;11/13/22, 6:12 PM;;$0.00;0.0;
44;A(11798.75|11800.75|11795.25|11797|11797.83|226);Buy to Open;0;0.0;$1.00;11/13/22, 6:14 PM;;$0.00;0.0;
45;A(11797|11798|11792.75|11798|11795.3|225);Buy to Open;0;0.0;$1.00;11/13/22, 6:15 PM;;$0.00;0.0;
46;A(11797.25|11806|11797|11801.5|11801.75|213);Buy to Open;0;0.0;$1.00;11/13/22, 6:16 PM;;$0.00;0.0;
47;A(11800.5|11811.25|11800.25|11807|11806.03|213);Buy to Open;0;0.0;$1.00;11/13/22, 6:19 PM;;$0.00;0.0;
48;A(11807.25|11810.25|11798.75|11808.75|11804.03|213);Buy to Open;0;0.0;$1.00;11/13/22, 6:22 PM;;$0.00;0.0;
49;A(11809.25|11809.75|11798.25|11800.25|11803.09|220);Buy to Open;0;0.0;$1.00;11/13/22, 6:24 PM;;$0.00;0.0;
50;A(11800.5|11800.5|11791.5|11792.5|11796.02|221);Buy to Open;0;0.0;$1.00;11/13/22, 6:26 PM;;$0.00;0.0;
51;A(11792.75|11794.25|11788.25|11788.25|11791.15|238);Buy to Open;0;0.0;$1.00;11/13/22, 6:27 PM;;$0.00;0.0;
52;A(11788.5|11791.25|11786.25|11789|11788.07|228);Buy to Open;0;0.0;$1.00;11/13/22, 6:30 PM;;$0.00;0.0;
53;A(11789.25|11792.75|11788|11792.25|11790.33|208);Buy to Open;0;0.0;$1.00;11/13/22, 6:32 PM;;$0.00;0.0;
54;A(11792.25|11795|11787|11793.25|11791.34|215);Buy to Open;0;0.0;$1.00;11/13/22, 6:35 PM;;$0.00;0.0;
55;A(11793.5|11794|11787|11788.75|11790.28|213);Buy to Open;0;0.0;$1.00;11/13/22, 6:38 PM;;$0.00;0.0;
56;A(11789|11791.75|11787|11791.25|11788.62|205);Buy to Open;0;0.0;$1.00;11/13/22, 6:41 PM;;$0.00;0.0;
57;A(11791.5|11795|11789|11790.5|11791.6|212);Buy to Open;0;0.0;$1.00;11/13/22, 6:45 PM;;$0.00;0.0;
58;A(11790.25|11796.75|11787.5|11791.5|11792.55|208);Buy to Open;0;0.0;$1.00;11/13/22, 6:49 PM;;$0.00;0.0;
59;A(11792.5|11792.5|11784.75|11789|11787.99|204);Buy to Open;0;0.0;$1.00;11/13/22, 6:54 PM;;$0.00;0.0;
60;A(11789.75|11799.75|11788.5|11799.75|11793.74|204);Buy to Open;0;0.0;$1.00;11/13/22, 6:57 PM;;$0.00;0.0;
61;A(11799|11803.5|11798.25|11802.75|11800.22|216);Buy to Open;0;0.0;$1.00;11/13/22, 7:00 PM;;$0.00;0.0;
62;A(11802.75|11802.75|11793.5|11795.5|11798.45|208);Buy to Open;0;0.0;$1.00;11/13/22, 7:01 PM;;$0.00;0.0;
63;A(11797.25|11806.75|11796.5|11804.5|11801.98|207);Buy to Open;0;0.0;$1.00;11/13/22, 7:04 PM;;$0.00;0.0;
64;A(11804.25|11806.5|11802.5|11804|11804.75|207);Buy to Open;0;0.0;$1.00;11/13/22, 7:05 PM;;$0.00;0.0;
65;A(11804|11808|11802|11807|11805.18|207);Buy to Open;0;0.0;$1.00;11/13/22, 7:07 PM;;$0.00;0.0;
66;A(11807|11809.75|11802.5|11809.75|11805.86|214);Buy to Open;0;0.0;$1.00;11/13/22, 7:10 PM;;$0.00;0.0;
67;A(11809.5|11810|11803.25|11809.5|11806.98|213);Buy to Open;0;0.0;$1.00;11/13/22, 7:12 PM;;$0.00;0.0;
68;A(11810|11815.25|11809.5|11812|11812.56|206);Buy to Open;0;0.0;$1.00;11/13/22, 7:15 PM;;$0.00;0.0;
69;A(11812.25|11820.25|11811.5|11820.25|11815.88|214);Buy to Open;0;0.0;$1.00;11/13/22, 7:15 PM;;$0.00;0.0;
70;A(11820.25|11824.25|11814.25|11816.25|11820.35|215);Buy to Open;0;0.0;$1.00;11/13/22, 7:16 PM;;$0.00;0.0;
71;A(11816.25|11821.25|11812.5|11819|11817.16|206);Buy to Open;0;0.0;$1.00;11/13/22, 7:17 PM;;$0.00;0.0;
72;A(11819|11823.5|11817.25|11820.5|11820.81|217);Buy to Open;0;0.0;$1.00;11/13/22, 7:19 PM;;$0.00;0.0;
73;A(11821.5|11825.25|11818.75|11822|11821.81|209);Buy to Open;0;0.0;$1.00;11/13/22, 7:20 PM;;$0.00;0.0;
74;A(11821.75|11826.5|11817|11817.75|11822.17|211);Buy to Open;0;0.0;$1.00;11/13/22, 7:22 PM;;$0.00;0.0;
