Strategy report
Symbol: /NQ:XCME
Work Time: 11/14/21, 5:00 PM - 11/19/21, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(16213.75|16222.25|16213.75|16222.25|16217.38|255);Buy to Open;0;0.0;$1.00;11/14/21, 5:00 PM;;$0.00;0.0;
2;A(16221.25|16226.5|16216.5|16216.5|16222.08|225);Buy to Open;0;0.0;$1.00;11/14/21, 5:00 PM;;$0.00;0.0;
3;A(16216.25|16222.25|16215.25|16217.5|16219.33|208);Buy to Open;0;0.0;$1.00;11/14/21, 5:01 PM;;$0.00;0.0;
4;A(16217.5|16224.5|16216.75|16217.5|16220.45|225);Buy to Open;0;0.0;$1.00;11/14/21, 5:01 PM;;$0.00;0.0;
5;A(16217.75|16220.75|16214|16214.75|16216.48|216);Buy to Open;0;0.0;$1.00;11/14/21, 5:02 PM;;$0.00;0.0;
6;A(16214.75|16222.5|16214.5|16221.5|16218.55|222);Buy to Open;0;0.0;$1.00;11/14/21, 5:03 PM;;$0.00;0.0;
7;A(16221.75|16223.75|16220|16223.5|16221.97|230);Buy to Open;0;0.0;$1.00;11/14/21, 5:07 PM;;$0.00;0.0;
8;A(16223.75|16231.5|16222.75|16230.5|16227.53|227);Buy to Open;0;0.0;$1.00;11/14/21, 5:10 PM;;$0.00;0.0;
9;A(16230.75|16234.5|16228.5|16233.75|16231.76|222);Buy to Open;0;0.0;$1.00;11/14/21, 5:11 PM;;$0.00;0.0;
10;A(16233.5|16233.5|16228|16230.75|16230.97|230);Buy to Open;0;0.0;$1.00;11/14/21, 5:12 PM;;$0.00;0.0;
11;A(16230.75|16231.75|16227.25|16229.75|16229.38|217);Buy to Open;0;0.0;$1.00;11/14/21, 5:13 PM;;$0.00;0.0;
12;A(16229.75|16240|16228.75|16240|16234.82|239);Buy to Open;0;0.0;$1.00;11/14/21, 5:15 PM;;$0.00;0.0;
13;A(16240|16241|16236|16238.25|16239|237);Buy to Open;0;0.0;$1.00;11/14/21, 5:17 PM;;$0.00;0.0;
14;A(16238.25|16239.5|16234.25|16237.25|16236.68|230);Buy to Open;0;0.0;$1.00;11/14/21, 5:17 PM;;$0.00;0.0;
15;A(16237.25|16238.75|16235|16236.75|16236.38|232);Buy to Open;0;0.0;$1.00;11/14/21, 5:18 PM;;$0.00;0.0;
16;A(16237.25|16238.75|16232|16232.75|16235.03|219);Buy to Open;0;0.0;$1.00;11/14/21, 5:21 PM;;$0.00;0.0;
17;A(16232.75|16235.75|16231.75|16234|16233.63|213);Buy to Open;0;0.0;$1.00;11/14/21, 5:24 PM;;$0.00;0.0;
18;A(16233.75|16234.5|16229.25|16229.25|16232.37|210);Buy to Open;0;0.0;$1.00;11/14/21, 5:27 PM;;$0.00;0.0;
19;A(16229.75|16233.5|16228|16233.5|16230.74|210);Buy to Open;0;0.0;$1.00;11/14/21, 5:31 PM;;$0.00;0.0;
20;A(16233.5|16237.75|16232.75|16233|16235.06|209);Buy to Open;0;0.0;$1.00;11/14/21, 5:36 PM;;$0.00;0.0;
21;A(16232.75|16233.25|16227.5|16228.25|16230.02|219);Buy to Open;0;0.0;$1.00;11/14/21, 5:38 PM;;$0.00;0.0;
22;A(16228.5|16230.75|16226|16230.75|16228.27|212);Buy to Open;0;0.0;$1.00;11/14/21, 5:43 PM;;$0.00;0.0;
23;A(16230.5|16235|16230.5|16233.25|16232.72|212);Buy to Open;0;0.0;$1.00;11/14/21, 5:47 PM;;$0.00;0.0;
24;A(16233|16237|16231.25|16231.25|16234.25|240);Buy to Open;0;0.0;$1.00;11/14/21, 5:51 PM;;$0.00;0.0;
25;A(16231.25|16231.25|16226|16226|16228.34|213);Buy to Open;0;0.0;$1.00;11/14/21, 5:56 PM;;$0.00;0.0;
26;A(16226|16229.25|16224.25|16225.25|16226.22|209);Buy to Open;0;0.0;$1.00;11/14/21, 5:58 PM;;$0.00;0.0;
27;A(16225.25|16233.75|16225|16233.25|16230.15|214);Buy to Open;0;0.0;$1.00;11/14/21, 6:00 PM;;$0.00;0.0;
28;A(16233.5|16238.75|16232.5|16237.25|16236.3|229);Buy to Open;0;0.0;$1.00;11/14/21, 6:02 PM;;$0.00;0.0;
29;A(16237.5|16241|16235.75|16240|16238.28|216);Buy to Open;0;0.0;$1.00;11/14/21, 6:03 PM;;$0.00;0.0;
30;A(16239.75|16241|16236.25|16236.25|16238.77|220);Buy to Open;0;0.0;$1.00;11/14/21, 6:06 PM;;$0.00;0.0;
31;A(16236.25|16237|16232|16233.25|16234.52|228);Buy to Open;0;0.0;$1.00;11/14/21, 6:09 PM;;$0.00;0.0;
32;A(16233.25|16239.25|16232.25|16237.75|16236.65|245);Buy to Open;0;0.0;$1.00;11/14/21, 6:12 PM;;$0.00;0.0;
