Strategy report
Symbol: /NQ:XCME
Work Time: 5/14/23, 5:00 PM - 5/19/23, 3:58 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(13369.25|13373.75|13368.5|13368.5|13370.86|235);Buy to Open;0;0.0;$1.00;5/14/23, 5:00 PM;;$0.00;0.0;
2;A(13368.5|13370|13366|13368.75|13368.07|221);Buy to Open;0;0.0;$1.00;5/14/23, 5:02 PM;;$0.00;0.0;
3;A(13369|13369.25|13363.25|13363.75|13365.8|222);Buy to Open;0;0.0;$1.00;5/14/23, 5:04 PM;;$0.00;0.0;
4;A(13363.5|13364.75|13361.75|13364.75|13363.18|214);Buy to Open;0;0.0;$1.00;5/14/23, 5:07 PM;;$0.00;0.0;
5;A(13364.75|13367.75|13363.25|13365.75|13365.6|222);Buy to Open;0;0.0;$1.00;5/14/23, 5:11 PM;;$0.00;0.0;
6;A(13366.5|13367|13362.5|13364.25|13364.48|206);Buy to Open;0;0.0;$1.00;5/14/23, 5:14 PM;;$0.00;0.0;
7;A(13364|13366.5|13363|13363.75|13365.02|227);Buy to Open;0;0.0;$1.00;5/14/23, 5:16 PM;;$0.00;0.0;
8;A(13364.25|13364.25|13360.25|13360.25|13361.61|219);Buy to Open;0;0.0;$1.00;5/14/23, 5:25 PM;;$0.00;0.0;
9;A(13360.75|13364|13360.25|13364|13362.64|224);Buy to Open;0;0.0;$1.00;5/14/23, 5:29 PM;;$0.00;0.0;
10;A(13364.25|13365.5|13360.25|13361|13363.09|225);Buy to Open;0;0.0;$1.00;5/14/23, 5:36 PM;;$0.00;0.0;
11;A(13361.25|13362.75|13358.25|13359.25|13360.14|227);Buy to Open;0;0.0;$1.00;5/14/23, 5:45 PM;;$0.00;0.0;
12;A(13359.5|13359.75|13357.25|13358.5|13358.37|219);Buy to Open;0;0.0;$1.00;5/14/23, 5:52 PM;;$0.00;0.0;
13;A(13359.25|13359.75|13356|13358.75|13358.12|208);Buy to Open;0;0.0;$1.00;5/14/23, 6:00 PM;;$0.00;0.0;
14;A(13358.75|13363.75|13358.75|13363.25|13361.73|224);Buy to Open;0;0.0;$1.00;5/14/23, 6:08 PM;;$0.00;0.0;
15;A(13363.25|13365.25|13362.25|13364|13363.86|217);Buy to Open;0;0.0;$1.00;5/14/23, 6:15 PM;;$0.00;0.0;
16;A(13364.25|13364.25|13357.75|13360.25|13360.62|205);Buy to Open;0;0.0;$1.00;5/14/23, 6:24 PM;;$0.00;0.0;
17;A(13360|13367|13359.5|13365.75|13363.92|238);Buy to Open;0;0.0;$1.00;5/14/23, 6:27 PM;;$0.00;0.0;
