Strategy report
Symbol: /NQ:XCME
Work Time: 7/10/22, 5:00 PM - 7/15/22, 3:58 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(12132.75|12138.75|12126|12126.25|12132.8|252);Buy to Open;0;0.0;$1.00;7/10/22, 5:00 PM;;$0.00;0.0;
2;A(12125.75|12133.5|12121.25|12130.25|12127.13|243);Buy to Open;0;0.0;$1.00;7/10/22, 5:01 PM;;$0.00;0.0;
3;A(12129.75|12131.75|12124|12131.75|12127.67|217);Buy to Open;0;0.0;$1.00;7/10/22, 5:02 PM;;$0.00;0.0;
4;A(12132|12132.75|12124|12125.75|12127.47|219);Buy to Open;0;0.0;$1.00;7/10/22, 5:04 PM;;$0.00;0.0;
5;A(12126|12129|12122|12128.75|12124.9|257);Buy to Open;0;0.0;$1.00;7/10/22, 5:06 PM;;$0.00;0.0;
6;A(12129.5|12130|12121.25|12124|12123.58|218);Buy to Open;0;0.0;$1.00;7/10/22, 5:09 PM;;$0.00;0.0;
7;A(12124.25|12124.75|12113|12117.5|12118.77|237);Buy to Open;0;0.0;$1.00;7/10/22, 5:12 PM;;$0.00;0.0;
8;A(12116.75|12118.25|12110.5|12110.5|12113.76|212);Buy to Open;0;0.0;$1.00;7/10/22, 5:14 PM;;$0.00;0.0;
9;A(12110|12113.25|12106.75|12111.5|12109.39|218);Buy to Open;0;0.0;$1.00;7/10/22, 5:15 PM;;$0.00;0.0;
10;A(12110.75|12114|12108.25|12109.75|12110.83|219);Buy to Open;0;0.0;$1.00;7/10/22, 5:17 PM;;$0.00;0.0;
11;A(12109|12109|12104|12106|12106.29|223);Buy to Open;0;0.0;$1.00;7/10/22, 5:19 PM;;$0.00;0.0;
12;A(12106|12109|12100.5|12100.5|12105.98|224);Buy to Open;0;0.0;$1.00;7/10/22, 5:21 PM;;$0.00;0.0;
13;A(12100.25|12101|12096|12100.25|12098.6|221);Buy to Open;0;0.0;$1.00;7/10/22, 5:22 PM;;$0.00;0.0;
14;A(12100.25|12100.5|12092.25|12097.25|12097.12|221);Buy to Open;0;0.0;$1.00;7/10/22, 5:22 PM;;$0.00;0.0;
15;A(12097.25|12104.75|12096.5|12103.25|12101.24|212);Buy to Open;0;0.0;$1.00;7/10/22, 5:24 PM;;$0.00;0.0;
16;A(12103.5|12108|12101.5|12105.75|12105.22|217);Buy to Open;0;0.0;$1.00;7/10/22, 5:27 PM;;$0.00;0.0;
17;A(12106|12110.25|12102.25|12102.25|12107.57|223);Buy to Open;0;0.0;$1.00;7/10/22, 5:30 PM;;$0.00;0.0;
18;A(12102.25|12108.5|12100|12107.75|12103.37|233);Buy to Open;0;0.0;$1.00;7/10/22, 5:33 PM;;$0.00;0.0;
19;A(12107.75|12110.75|12105.25|12109.5|12108.32|231);Buy to Open;0;0.0;$1.00;7/10/22, 5:37 PM;;$0.00;0.0;
20;A(12109.25|12109.75|12103.5|12103.75|12106.58|232);Buy to Open;0;0.0;$1.00;7/10/22, 5:43 PM;;$0.00;0.0;
21;A(12103.25|12109.75|12102|12109.75|12106.41|230);Buy to Open;0;0.0;$1.00;7/10/22, 5:49 PM;;$0.00;0.0;
22;A(12109.75|12112.5|12106.75|12107.25|12109.89|224);Buy to Open;0;0.0;$1.00;7/10/22, 5:54 PM;;$0.00;0.0;
23;A(12107.5|12107.5|12099.5|12099.5|12104.13|215);Buy to Open;0;0.0;$1.00;7/10/22, 5:58 PM;;$0.00;0.0;
24;A(12099.5|12100|12095.25|12097.25|12097.34|212);Buy to Open;0;0.0;$1.00;7/10/22, 6:01 PM;;$0.00;0.0;
25;A(12096.5|12107.5|12095|12107.5|12100.5|213);Buy to Open;0;0.0;$1.00;7/10/22, 6:03 PM;;$0.00;0.0;
26;A(12107.75|12113.5|12106.25|12113.5|12111.04|219);Buy to Open;0;0.0;$1.00;7/10/22, 6:06 PM;;$0.00;0.0;
