Strategy report
Symbol: /NQ:XCME
Work Time: 2/13/22, 5:00 PM - 2/18/22, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(14253.25|14259.25|14230|14240.25|14243.2|205);Buy to Open;0;0.0;$1.00;2/13/22, 5:00 PM;;$0.00;0.0;
2;A(14242|14252.75|14236.25|14247.25|14244.94|221);Buy to Open;0;0.0;$1.00;2/13/22, 5:00 PM;;$0.00;0.0;
3;A(14247|14247.5|14233.5|14245.75|14241.74|221);Buy to Open;0;0.0;$1.00;2/13/22, 5:00 PM;;$0.00;0.0;
4;A(14246|14253|14241.5|14242|14247.95|212);Buy to Open;0;0.0;$1.00;2/13/22, 5:00 PM;;$0.00;0.0;
5;A(14241.75|14243|14228.25|14236|14234.55|227);Buy to Open;0;0.0;$1.00;2/13/22, 5:01 PM;;$0.00;0.0;
6;A(14236|14240.5|14225.25|14240.5|14231.2|230);Buy to Open;0;0.0;$1.00;2/13/22, 5:01 PM;;$0.00;0.0;
7;A(14241|14247.25|14233.25|14235.75|14240.1|210);Buy to Open;0;0.0;$1.00;2/13/22, 5:02 PM;;$0.00;0.0;
8;A(14236|14245.5|14232.5|14234.75|14238.7|231);Buy to Open;0;0.0;$1.00;2/13/22, 5:02 PM;;$0.00;0.0;
9;A(14234.75|14237|14222.25|14222.25|14230.28|222);Buy to Open;0;0.0;$1.00;2/13/22, 5:03 PM;;$0.00;0.0;
10;A(14222.25|14225|14209.25|14209.25|14218.78|215);Buy to Open;0;0.0;$1.00;2/13/22, 5:04 PM;;$0.00;0.0;
11;A(14209.5|14221.25|14209|14220|14216.16|224);Buy to Open;0;0.0;$1.00;2/13/22, 5:04 PM;;$0.00;0.0;
12;A(14220|14228|14215.25|14224.5|14222.43|211);Buy to Open;0;0.0;$1.00;2/13/22, 5:05 PM;;$0.00;0.0;
13;A(14224.25|14226|14208.5|14210|14218.41|228);Buy to Open;0;0.0;$1.00;2/13/22, 5:06 PM;;$0.00;0.0;
14;A(14208.5|14211|14198|14198|14204.86|253);Buy to Open;0;0.0;$1.00;2/13/22, 5:07 PM;;$0.00;0.0;
15;A(14198|14203.25|14195.25|14195.25|14199.03|272);Buy to Open;0;0.0;$1.00;2/13/22, 5:07 PM;;$0.00;0.0;
16;A(14195.25|14196.5|14184.25|14186|14191.03|225);Buy to Open;0;0.0;$1.00;2/13/22, 5:08 PM;;$0.00;0.0;
17;A(14186|14198.5|14185|14193|14192.08|234);Buy to Open;0;0.0;$1.00;2/13/22, 5:08 PM;;$0.00;0.0;
18;A(14192.75|14211|14191.75|14209|14201.89|216);Buy to Open;0;0.0;$1.00;2/13/22, 5:08 PM;;$0.00;0.0;
19;A(14208.75|14216.5|14208.25|14214|14212.05|211);Buy to Open;0;0.0;$1.00;2/13/22, 5:09 PM;;$0.00;0.0;
20;A(14213.75|14215.5|14196|14199|14203.94|224);Buy to Open;0;0.0;$1.00;2/13/22, 5:10 PM;;$0.00;0.0;
21;A(14198|14210|14198|14210|14203.85|245);Buy to Open;0;0.0;$1.00;2/13/22, 5:10 PM;;$0.00;0.0;
22;A(14210.5|14213.75|14203|14203.5|14207.35|215);Buy to Open;0;0.0;$1.00;2/13/22, 5:12 PM;;$0.00;0.0;
23;A(14204|14204|14188.25|14190|14195.27|239);Buy to Open;0;0.0;$1.00;2/13/22, 5:13 PM;;$0.00;0.0;
24;A(14190.25|14200.75|14188.75|14194|14193.62|220);Buy to Open;0;0.0;$1.00;2/13/22, 5:15 PM;;$0.00;0.0;
25;A(14193.5|14217|14193.5|14214.75|14205.81|237);Buy to Open;0;0.0;$1.00;2/13/22, 5:15 PM;;$0.00;0.0;
26;A(14214.25|14216.5|14203.5|14213.5|14210.3|217);Buy to Open;0;0.0;$1.00;2/13/22, 5:16 PM;;$0.00;0.0;
27;A(14213|14223.25|14209.5|14223.25|14217.4|204);Buy to Open;0;0.0;$1.00;2/13/22, 5:17 PM;;$0.00;0.0;
28;A(14223.25|14224.25|14212|14218.75|14219.73|209);Buy to Open;0;0.0;$1.00;2/13/22, 5:18 PM;;$0.00;0.0;
29;A(14218.75|14220.25|14206.75|14215|14212.22|214);Buy to Open;0;0.0;$1.00;2/13/22, 5:18 PM;;$0.00;0.0;
30;A(14215.5|14223.25|14210|14210.25|14217.52|212);Buy to Open;0;0.0;$1.00;2/13/22, 5:20 PM;;$0.00;0.0;
31;A(14210|14212.75|14198.75|14201.25|14205.09|220);Buy to Open;0;0.0;$1.00;2/13/22, 5:21 PM;;$0.00;0.0;
32;A(14200|14204.75|14196|14204.75|14200.2|235);Buy to Open;0;0.0;$1.00;2/13/22, 5:22 PM;;$0.00;0.0;
33;A(14205|14212.25|14199.5|14205|14206.11|208);Buy to Open;0;0.0;$1.00;2/13/22, 5:24 PM;;$0.00;0.0;
34;A(14204.75|14209.5|14197.75|14208|14201.79|213);Buy to Open;0;0.0;$1.00;2/13/22, 5:26 PM;;$0.00;0.0;
35;A(14207.75|14210|14198|14210|14202.4|216);Buy to Open;0;0.0;$1.00;2/13/22, 5:28 PM;;$0.00;0.0;
36;A(14210|14216.5|14205.75|14211.75|14210.13|276);Buy to Open;0;0.0;$1.00;2/13/22, 5:31 PM;;$0.00;0.0;
37;A(14213|14219.25|14211.25|14214|14215.23|211);Buy to Open;0;0.0;$1.00;2/13/22, 5:32 PM;;$0.00;0.0;
38;A(14214|14216|14207.75|14207.75|14212.32|214);Buy to Open;0;0.0;$1.00;2/13/22, 5:33 PM;;$0.00;0.0;
39;A(14207.25|14214.75|14203.25|14209.25|14207.63|233);Buy to Open;0;0.0;$1.00;2/13/22, 5:37 PM;;$0.00;0.0;
40;A(14209|14215.75|14205.25|14214.25|14210.18|211);Buy to Open;0;0.0;$1.00;2/13/22, 5:40 PM;;$0.00;0.0;
41;A(14215.5|14222.5|14207.25|14221.25|14214.07|209);Buy to Open;0;0.0;$1.00;2/13/22, 5:42 PM;;$0.00;0.0;
42;A(14221.25|14227.75|14219.25|14227.75|14223.84|253);Buy to Open;0;0.0;$1.00;2/13/22, 5:45 PM;;$0.00;0.0;
43;A(14228|14241.25|14226.75|14239.75|14232.94|217);Buy to Open;0;0.0;$1.00;2/13/22, 5:45 PM;;$0.00;0.0;
44;A(14239.75|14248.25|14233.5|14247.75|14239.9|222);Buy to Open;0;0.0;$1.00;2/13/22, 5:45 PM;;$0.00;0.0;
45;A(14247.75|14253.75|14246|14249.5|14249.67|215);Buy to Open;0;0.0;$1.00;2/13/22, 5:45 PM;;$0.00;0.0;
46;A(14251|14254|14243.25|14243.25|14249.93|232);Buy to Open;0;0.0;$1.00;2/13/22, 5:46 PM;;$0.00;0.0;
47;A(14243|14252.5|14242.5|14251.25|14248.33|239);Buy to Open;0;0.0;$1.00;2/13/22, 5:46 PM;;$0.00;0.0;
48;A(14251.75|14256.25|14248|14248|14253.02|240);Buy to Open;0;0.0;$1.00;2/13/22, 5:47 PM;;$0.00;0.0;
49;A(14248|14256.5|14246.25|14254.25|14251.55|208);Buy to Open;0;0.0;$1.00;2/13/22, 5:48 PM;;$0.00;0.0;
50;A(14254.5|14256.75|14249.75|14249.75|14253.78|222);Buy to Open;0;0.0;$1.00;2/13/22, 5:48 PM;;$0.00;0.0;
51;A(14249.75|14256.75|14247.5|14256.25|14253.2|213);Buy to Open;0;0.0;$1.00;2/13/22, 5:50 PM;;$0.00;0.0;
52;A(14256.25|14262|14255.5|14260.25|14258.74|248);Buy to Open;0;0.0;$1.00;2/13/22, 5:52 PM;;$0.00;0.0;
53;A(14261|14263|14254.5|14254.5|14259.33|227);Buy to Open;0;0.0;$1.00;2/13/22, 5:53 PM;;$0.00;0.0;
54;A(14255.25|14260|14248|14258.25|14253.7|231);Buy to Open;0;0.0;$1.00;2/13/22, 5:53 PM;;$0.00;0.0;
55;A(14258|14258|14246.25|14248.25|14250.8|206);Buy to Open;0;0.0;$1.00;2/13/22, 5:54 PM;;$0.00;0.0;
56;A(14248|14255.5|14245.75|14252|14250.51|220);Buy to Open;0;0.0;$1.00;2/13/22, 5:55 PM;;$0.00;0.0;
57;A(14251.75|14255.5|14248.25|14248.5|14251.67|218);Buy to Open;0;0.0;$1.00;2/13/22, 5:56 PM;;$0.00;0.0;
58;A(14248.5|14251.75|14245.25|14249.25|14248.08|221);Buy to Open;0;0.0;$1.00;2/13/22, 5:58 PM;;$0.00;0.0;
59;A(14249.25|14257|14247.75|14253|14252.86|212);Buy to Open;0;0.0;$1.00;2/13/22, 6:00 PM;;$0.00;0.0;
60;A(14254|14254.75|14246.5|14254.75|14250.15|223);Buy to Open;0;0.0;$1.00;2/13/22, 6:01 PM;;$0.00;0.0;
61;A(14255|14261.5|14253|14255|14256.94|222);Buy to Open;0;0.0;$1.00;2/13/22, 6:04 PM;;$0.00;0.0;
62;A(14255|14258.25|14250|14250|14253.86|213);Buy to Open;0;0.0;$1.00;2/13/22, 6:05 PM;;$0.00;0.0;
63;A(14250|14250|14237|14241.75|14243.14|209);Buy to Open;0;0.0;$1.00;2/13/22, 6:07 PM;;$0.00;0.0;
64;A(14242.5|14260|14241.25|14260|14249.58|205);Buy to Open;0;0.0;$1.00;2/13/22, 6:08 PM;;$0.00;0.0;
65;A(14260|14268.5|14260|14263.5|14264.18|229);Buy to Open;0;0.0;$1.00;2/13/22, 6:09 PM;;$0.00;0.0;
66;A(14263.25|14272.25|14258.75|14272.25|14265.35|226);Buy to Open;0;0.0;$1.00;2/13/22, 6:09 PM;;$0.00;0.0;
67;A(14271.25|14271.5|14255.5|14259.25|14263.63|211);Buy to Open;0;0.0;$1.00;2/13/22, 6:09 PM;;$0.00;0.0;
68;A(14260.25|14267.75|14258.25|14267.75|14262|217);Buy to Open;0;0.0;$1.00;2/13/22, 6:10 PM;;$0.00;0.0;
69;A(14268|14276|14266.75|14269.5|14272.15|217);Buy to Open;0;0.0;$1.00;2/13/22, 6:12 PM;;$0.00;0.0;
70;A(14270.75|14271.25|14263.75|14267.5|14268.13|212);Buy to Open;0;0.0;$1.00;2/13/22, 6:13 PM;;$0.00;0.0;
