Strategy report
Symbol: /NQ:XCME
Work Time: 9/10/23, 5:04 PM - 9/15/23, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(15497.5|15503|15494.75|15500|15497.75|220);Buy to Open;0;0.0;$1.00;9/10/23, 5:04 PM;;$0.00;0.0;
2;A(15499.5|15505|15498.75|15503|15503.12|206);Buy to Open;0;0.0;$1.00;9/10/23, 5:09 PM;;$0.00;0.0;
3;A(15502.75|15507.5|15500|15504|15503.51|203);Buy to Open;0;0.0;$1.00;9/10/23, 5:16 PM;;$0.00;0.0;
4;A(15503.75|15509|15503|15507|15505.55|204);Buy to Open;0;0.0;$1.00;9/10/23, 5:23 PM;;$0.00;0.0;
5;A(15507|15512|15506.5|15506.5|15508.83|213);Buy to Open;0;0.0;$1.00;9/10/23, 5:32 PM;;$0.00;0.0;
6;A(15506.25|15516.5|15505.25|15515.75|15510.73|227);Buy to Open;0;0.0;$1.00;9/10/23, 5:37 PM;;$0.00;0.0;
7;A(15516.25|15517.5|15510.5|15510.5|15514.46|208);Buy to Open;0;0.0;$1.00;9/10/23, 5:42 PM;;$0.00;0.0;
8;A(15510.25|15516|15508.25|15513.25|15512.46|223);Buy to Open;0;0.0;$1.00;9/10/23, 5:48 PM;;$0.00;0.0;
9;A(15513.5|15517.25|15512.5|15512.5|15515.39|209);Buy to Open;0;0.0;$1.00;9/10/23, 5:53 PM;;$0.00;0.0;
10;A(15512.75|15514.5|15507.75|15509|15511.06|208);Buy to Open;0;0.0;$1.00;9/10/23, 6:02 PM;;$0.00;0.0;
11;A(15508.75|15513.25|15506|15509.75|15509.61|206);Buy to Open;0;0.0;$1.00;9/10/23, 6:08 PM;;$0.00;0.0;
12;A(15510.25|15513|15507.5|15511.75|15510.14|208);Buy to Open;0;0.0;$1.00;9/10/23, 6:13 PM;;$0.00;0.0;
13;A(15512|15517|15511.75|15516.5|15514.29|205);Buy to Open;0;0.0;$1.00;9/10/23, 6:23 PM;;$0.00;0.0;
14;A(15516|15519.25|15514.5|15515|15517.1|204);Buy to Open;0;0.0;$1.00;9/10/23, 6:27 PM;;$0.00;0.0;
15;A(15515.25|15519|15513.25|15518.5|15516.54|218);Buy to Open;0;0.0;$1.00;9/10/23, 6:33 PM;;$0.00;0.0;
16;A(15519|15521|15515.5|15515.5|15518.4|223);Buy to Open;0;0.0;$1.00;9/10/23, 6:43 PM;;$0.00;0.0;
17;A(15515.5|15518.75|15513.5|15518.5|15516.57|210);Buy to Open;0;0.0;$1.00;9/10/23, 6:47 PM;;$0.00;0.0;
18;A(15519|15522|15517|15519.75|15519.64|209);Buy to Open;0;0.0;$1.00;9/10/23, 6:54 PM;;$0.00;0.0;
19;A(15519.25|15522.75|15518.25|15521.5|15520.68|205);Buy to Open;0;0.0;$1.00;9/10/23, 7:00 PM;;$0.00;0.0;
20;A(15521.5|15527.75|15520.75|15527.25|15524.31|210);Buy to Open;0;0.0;$1.00;9/10/23, 7:01 PM;;$0.00;0.0;
21;A(15527.25|15531.75|15525|15525.75|15527.93|203);Buy to Open;0;0.0;$1.00;9/10/23, 7:02 PM;;$0.00;0.0;
22;A(15525.75|15526|15513.25|15516.75|15520.18|215);Buy to Open;0;0.0;$1.00;9/10/23, 7:04 PM;;$0.00;0.0;
23;A(15516.75|15519.5|15512.5|15512.5|15515.45|202);Buy to Open;0;0.0;$1.00;9/10/23, 7:06 PM;;$0.00;0.0;
24;A(15512.25|15518.5|15511.25|15515.25|15515.86|208);Buy to Open;0;0.0;$1.00;9/10/23, 7:08 PM;;$0.00;0.0;
25;A(15515|15515.25|15509|15509.25|15511.01|207);Buy to Open;0;0.0;$1.00;9/10/23, 7:11 PM;;$0.00;0.0;
26;A(15509.5|15515.75|15509.25|15513|15512.44|214);Buy to Open;0;0.0;$1.00;9/10/23, 7:13 PM;;$0.00;0.0;
27;A(15513.25|15513.25|15507.75|15510.5|15510.11|209);Buy to Open;0;0.0;$1.00;9/10/23, 7:16 PM;;$0.00;0.0;
28;A(15510.5|15516.5|15509|15515.5|15512.78|202);Buy to Open;0;0.0;$1.00;9/10/23, 7:18 PM;;$0.00;0.0;
29;A(15515.5|15519|15514.75|15516.5|15517.21|210);Buy to Open;0;0.0;$1.00;9/10/23, 7:21 PM;;$0.00;0.0;
30;A(15516.25|15516.25|15510.75|15513.25|15512.88|207);Buy to Open;0;0.0;$1.00;9/10/23, 7:25 PM;;$0.00;0.0;
31;A(15513.25|15514.75|15509.75|15511|15512.08|202);Buy to Open;0;0.0;$1.00;9/10/23, 7:31 PM;;$0.00;0.0;
32;A(15511.25|15517.75|15510.5|15514|15513.96|205);Buy to Open;0;0.0;$1.00;9/10/23, 7:35 PM;;$0.00;0.0;
33;A(15513.75|15516.5|15510.75|15511.25|15514.18|205);Buy to Open;0;0.0;$1.00;9/10/23, 7:37 PM;;$0.00;0.0;
34;A(15510.75|15514.5|15509|15509|15511.02|202);Buy to Open;0;0.0;$1.00;9/10/23, 7:46 PM;;$0.00;0.0;
35;A(15508.5|15513.5|15507.5|15508.75|15510.41|212);Buy to Open;0;0.0;$1.00;9/10/23, 7:50 PM;;$0.00;0.0;
36;A(15509|15509|15504.5|15505.25|15506.34|208);Buy to Open;0;0.0;$1.00;9/10/23, 7:55 PM;;$0.00;0.0;
37;A(15505.25|15513|15504.75|15511.5|15509.28|205);Buy to Open;0;0.0;$1.00;9/10/23, 7:58 PM;;$0.00;0.0;
38;A(15511.5|15511.5|15502.5|15504.5|15505.9|206);Buy to Open;0;0.0;$1.00;9/10/23, 8:01 PM;;$0.00;0.0;
39;A(15504.5|15508.25|15502.75|15506|15505.58|208);Buy to Open;0;0.0;$1.00;9/10/23, 8:05 PM;;$0.00;0.0;
40;A(15506|15510.25|15504.25|15510.25|15506.67|219);Buy to Open;0;0.0;$1.00;9/10/23, 8:09 PM;;$0.00;0.0;
41;A(15510.75|15511.75|15502.5|15505|15507.19|211);Buy to Open;0;0.0;$1.00;9/10/23, 8:12 PM;;$0.00;0.0;
42;A(15506.5|15508.75|15500|15500|15504.31|207);Buy to Open;0;0.0;$1.00;9/10/23, 8:16 PM;;$0.00;0.0;
43;A(15500|15501|15496.75|15498.25|15498.82|228);Buy to Open;0;0.0;$1.00;9/10/23, 8:20 PM;;$0.00;0.0;
44;A(15498|15500.5|15497|15498.25|15498.71|210);Buy to Open;0;0.0;$1.00;9/10/23, 8:22 PM;;$0.00;0.0;
45;A(15498.5|15499.75|15496|15497.25|15497.68|208);Buy to Open;0;0.0;$1.00;9/10/23, 8:26 PM;;$0.00;0.0;
46;A(15497.25|15501|15494.5|15496|15497.1|227);Buy to Open;0;0.0;$1.00;9/10/23, 8:30 PM;;$0.00;0.0;
47;A(15496.5|15497.5|15493.5|15493.5|15495.41|212);Buy to Open;0;0.0;$1.00;9/10/23, 8:32 PM;;$0.00;0.0;
48;A(15493.5|15496.5|15492.75|15494|15494.59|215);Buy to Open;0;0.0;$1.00;9/10/23, 8:34 PM;;$0.00;0.0;
49;A(15494|15502.25|15494|15502.25|15497.29|222);Buy to Open;0;0.0;$1.00;9/10/23, 8:36 PM;;$0.00;0.0;
50;A(15502.25|15507.5|15501.75|15502.5|15503.74|205);Buy to Open;0;0.0;$1.00;9/10/23, 8:38 PM;;$0.00;0.0;
51;A(15502.5|15505.25|15501.25|15504.5|15503.15|212);Buy to Open;0;0.0;$1.00;9/10/23, 8:40 PM;;$0.00;0.0;
52;A(15504.5|15512.5|15503.75|15512.5|15507.74|211);Buy to Open;0;0.0;$1.00;9/10/23, 8:45 PM;;$0.00;0.0;
53;A(15512.5|15514.5|15509.75|15511|15511.91|209);Buy to Open;0;0.0;$1.00;9/10/23, 8:47 PM;;$0.00;0.0;
