Strategy report
Symbol: /NQ:XCME
Work Time: 4/10/22, 5:00 PM - 4/14/22, 3:57 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(14350.25|14352.5|14340.75|14346.25|14347.73|237);Buy to Open;0;0.0;$1.00;4/10/22, 5:00 PM;;$0.00;0.0;
2;A(14345.5|14360|14345.5|14359.25|14354.01|221);Buy to Open;0;0.0;$1.00;4/10/22, 5:00 PM;;$0.00;0.0;
3;A(14359.25|14360|14350.5|14356.25|14355.35|215);Buy to Open;0;0.0;$1.00;4/10/22, 5:01 PM;;$0.00;0.0;
4;A(14356.25|14369.25|14355.5|14369.25|14360.57|222);Buy to Open;0;0.0;$1.00;4/10/22, 5:01 PM;;$0.00;0.0;
5;A(14369.5|14370.25|14360|14361|14364.64|206);Buy to Open;0;0.0;$1.00;4/10/22, 5:02 PM;;$0.00;0.0;
6;A(14361.25|14366.25|14358.25|14359|14363.01|206);Buy to Open;0;0.0;$1.00;4/10/22, 5:03 PM;;$0.00;0.0;
7;A(14358.5|14360|14353|14359.5|14356.64|221);Buy to Open;0;0.0;$1.00;4/10/22, 5:05 PM;;$0.00;0.0;
8;A(14360|14360.5|14354.25|14360.25|14357.59|201);Buy to Open;0;0.0;$1.00;4/10/22, 5:07 PM;;$0.00;0.0;
9;A(14360.5|14361|14352|14355.75|14355.74|224);Buy to Open;0;0.0;$1.00;4/10/22, 5:10 PM;;$0.00;0.0;
10;A(14355.75|14356.25|14351|14353.75|14353.08|209);Buy to Open;0;0.0;$1.00;4/10/22, 5:13 PM;;$0.00;0.0;
11;A(14353.75|14360.25|14352.75|14358.75|14357.42|229);Buy to Open;0;0.0;$1.00;4/10/22, 5:16 PM;;$0.00;0.0;
12;A(14358.75|14358.75|14350.75|14351.25|14354.76|216);Buy to Open;0;0.0;$1.00;4/10/22, 5:18 PM;;$0.00;0.0;
13;A(14351.25|14352|14346.25|14347.25|14348.21|220);Buy to Open;0;0.0;$1.00;4/10/22, 5:22 PM;;$0.00;0.0;
14;A(14346.75|14350.75|14345|14350.75|14347.53|223);Buy to Open;0;0.0;$1.00;4/10/22, 5:25 PM;;$0.00;0.0;
15;A(14350.25|14354|14349.5|14350.75|14351.63|211);Buy to Open;0;0.0;$1.00;4/10/22, 5:30 PM;;$0.00;0.0;
16;A(14351|14356.75|14350.5|14355.75|14354.31|206);Buy to Open;0;0.0;$1.00;4/10/22, 5:34 PM;;$0.00;0.0;
17;A(14356|14360|14355|14357.5|14357.73|213);Buy to Open;0;0.0;$1.00;4/10/22, 5:40 PM;;$0.00;0.0;
18;A(14357.75|14361.5|14355.5|14358.5|14358.52|212);Buy to Open;0;0.0;$1.00;4/10/22, 5:45 PM;;$0.00;0.0;
19;A(14358|14359.75|14352.5|14359.75|14355.91|209);Buy to Open;0;0.0;$1.00;4/10/22, 5:52 PM;;$0.00;0.0;
20;A(14360|14364.5|14359|14363.25|14361.73|211);Buy to Open;0;0.0;$1.00;4/10/22, 5:55 PM;;$0.00;0.0;
21;A(14363.25|14367.25|14361.75|14366.25|14364.48|210);Buy to Open;0;0.0;$1.00;4/10/22, 5:58 PM;;$0.00;0.0;
22;A(14366.5|14369.25|14364.75|14365.75|14367.34|203);Buy to Open;0;0.0;$1.00;4/10/22, 6:00 PM;;$0.00;0.0;
23;A(14365.75|14368.75|14361.25|14363|14364.93|207);Buy to Open;0;0.0;$1.00;4/10/22, 6:01 PM;;$0.00;0.0;
24;A(14363.25|14366|14357.75|14363.75|14362.08|209);Buy to Open;0;0.0;$1.00;4/10/22, 6:05 PM;;$0.00;0.0;
25;A(14363.75|14363.75|14355.25|14359.5|14359.7|214);Buy to Open;0;0.0;$1.00;4/10/22, 6:11 PM;;$0.00;0.0;
26;A(14359.5|14359.5|14351.25|14352.25|14354.7|206);Buy to Open;0;0.0;$1.00;4/10/22, 6:18 PM;;$0.00;0.0;
27;A(14352.5|14354.5|14349.25|14352|14352.29|201);Buy to Open;0;0.0;$1.00;4/10/22, 6:21 PM;;$0.00;0.0;
28;A(14352.75|14354.75|14348.5|14349.75|14351.34|209);Buy to Open;0;0.0;$1.00;4/10/22, 6:24 PM;;$0.00;0.0;
29;A(14349.75|14354|14348.25|14349.75|14350.69|212);Buy to Open;0;0.0;$1.00;4/10/22, 6:27 PM;;$0.00;0.0;
30;A(14350.5|14354|14345.25|14346.25|14349.48|207);Buy to Open;0;0.0;$1.00;4/10/22, 6:31 PM;;$0.00;0.0;
31;A(14346.75|14349|14344.5|14349|14346.7|212);Buy to Open;0;0.0;$1.00;4/10/22, 6:35 PM;;$0.00;0.0;
32;A(14349|14356|14347|14351.75|14351.79|215);Buy to Open;0;0.0;$1.00;4/10/22, 6:39 PM;;$0.00;0.0;
33;A(14351.75|14352.25|14345.25|14348.5|14347.92|204);Buy to Open;0;0.0;$1.00;4/10/22, 6:41 PM;;$0.00;0.0;
34;A(14348.5|14349|14341.75|14341.75|14345.38|248);Buy to Open;0;0.0;$1.00;4/10/22, 6:47 PM;;$0.00;0.0;
35;A(14341.75|14342.75|14335.5|14339|14339.1|220);Buy to Open;0;0.0;$1.00;4/10/22, 6:49 PM;;$0.00;0.0;
36;A(14339.25|14341|14333.5|14334.5|14337.1|221);Buy to Open;0;0.0;$1.00;4/10/22, 6:50 PM;;$0.00;0.0;
37;A(14333.25|14334.75|14329|14330.75|14332.02|232);Buy to Open;0;0.0;$1.00;4/10/22, 6:52 PM;;$0.00;0.0;
38;A(14331.25|14332.75|14327.25|14328.5|14330.36|212);Buy to Open;0;0.0;$1.00;4/10/22, 6:54 PM;;$0.00;0.0;
39;A(14328.75|14328.75|14318|14318|14323.75|236);Buy to Open;0;0.0;$1.00;4/10/22, 6:58 PM;;$0.00;0.0;
40;A(14318|14319.25|14315|14315|14317.21|223);Buy to Open;0;0.0;$1.00;4/10/22, 6:58 PM;;$0.00;0.0;
41;A(14315|14317.5|14308|14308|14313.9|237);Buy to Open;0;0.0;$1.00;4/10/22, 6:59 PM;;$0.00;0.0;
42;A(14308|14310.25|14305.5|14306.75|14307.24|221);Buy to Open;0;0.0;$1.00;4/10/22, 7:00 PM;;$0.00;0.0;
43;A(14306.25|14306.25|14300|14300|14303.98|247);Buy to Open;0;0.0;$1.00;4/10/22, 7:00 PM;;$0.00;0.0;
44;A(14300|14300|14288.75|14288.75|14294.29|208);Buy to Open;0;0.0;$1.00;4/10/22, 7:00 PM;;$0.00;0.0;
45;A(14288.5|14290.25|14283.5|14286.75|14286.71|204);Buy to Open;0;0.0;$1.00;4/10/22, 7:00 PM;;$0.00;0.0;
46;A(14286.75|14298|14286.25|14297|14293.89|208);Buy to Open;0;0.0;$1.00;4/10/22, 7:00 PM;;$0.00;0.0;
47;A(14296.5|14303.25|14293.5|14302.5|14297.52|213);Buy to Open;0;0.0;$1.00;4/10/22, 7:00 PM;;$0.00;0.0;
48;A(14303.75|14304|14294.25|14297.25|14299.52|207);Buy to Open;0;0.0;$1.00;4/10/22, 7:01 PM;;$0.00;0.0;
49;A(14297.25|14298.25|14284|14286|14290.64|206);Buy to Open;0;0.0;$1.00;4/10/22, 7:02 PM;;$0.00;0.0;
50;A(14285.5|14292.75|14285.25|14286.5|14288.74|211);Buy to Open;0;0.0;$1.00;4/10/22, 7:03 PM;;$0.00;0.0;
51;A(14286.75|14294.25|14285|14294|14289.62|236);Buy to Open;0;0.0;$1.00;4/10/22, 7:04 PM;;$0.00;0.0;
52;A(14294|14297.5|14287|14290.25|14293.51|221);Buy to Open;0;0.0;$1.00;4/10/22, 7:06 PM;;$0.00;0.0;
53;A(14289.75|14291.25|14276.25|14276.25|14282.83|206);Buy to Open;0;0.0;$1.00;4/10/22, 7:08 PM;;$0.00;0.0;
54;A(14276.25|14278|14271.75|14272|14274.97|207);Buy to Open;0;0.0;$1.00;4/10/22, 7:08 PM;;$0.00;0.0;
55;A(14271.5|14271.5|14256.25|14257|14264.77|248);Buy to Open;0;0.0;$1.00;4/10/22, 7:09 PM;;$0.00;0.0;
56;A(14257|14272.25|14256|14272|14264.37|209);Buy to Open;0;0.0;$1.00;4/10/22, 7:09 PM;;$0.00;0.0;
57;A(14272.25|14273|14258.5|14259|14265.74|225);Buy to Open;0;0.0;$1.00;4/10/22, 7:09 PM;;$0.00;0.0;
58;A(14259.25|14269.5|14259.25|14268.75|14266.32|217);Buy to Open;0;0.0;$1.00;4/10/22, 7:10 PM;;$0.00;0.0;
59;A(14268.75|14276.25|14265.25|14275.25|14270.54|234);Buy to Open;0;0.0;$1.00;4/10/22, 7:11 PM;;$0.00;0.0;
60;A(14276.25|14279.25|14271.75|14272.75|14276.05|233);Buy to Open;0;0.0;$1.00;4/10/22, 7:13 PM;;$0.00;0.0;
61;A(14272.75|14276.75|14268.25|14271|14272.59|206);Buy to Open;0;0.0;$1.00;4/10/22, 7:14 PM;;$0.00;0.0;
62;A(14271.25|14273|14266|14267.5|14270.03|215);Buy to Open;0;0.0;$1.00;4/10/22, 7:15 PM;;$0.00;0.0;
63;A(14267.5|14268.25|14262.25|14263.25|14265.29|239);Buy to Open;0;0.0;$1.00;4/10/22, 7:16 PM;;$0.00;0.0;
64;A(14263.25|14270.5|14261|14266|14265.54|207);Buy to Open;0;0.0;$1.00;4/10/22, 7:18 PM;;$0.00;0.0;
65;A(14266.75|14275.25|14264.5|14270.25|14270.8|216);Buy to Open;0;0.0;$1.00;4/10/22, 7:19 PM;;$0.00;0.0;
66;A(14270.25|14272|14264.25|14267|14267.73|211);Buy to Open;0;0.0;$1.00;4/10/22, 7:21 PM;;$0.00;0.0;
67;A(14267|14272|14265.5|14265.5|14268.68|207);Buy to Open;0;0.0;$1.00;4/10/22, 7:23 PM;;$0.00;0.0;
68;A(14265.75|14275|14264.5|14273|14269.76|219);Buy to Open;0;0.0;$1.00;4/10/22, 7:25 PM;;$0.00;0.0;
69;A(14273|14278.5|14271.25|14276.5|14275.76|214);Buy to Open;0;0.0;$1.00;4/10/22, 7:27 PM;;$0.00;0.0;
