Strategy report
Symbol: /NQ:XCME
Work Time: 9/11/22, 5:00 PM - 9/16/22, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(12724.5|12727.5|12713.25|12722.75|12720.63|207);Buy to Open;0;0.0;$1.00;9/11/22, 5:00 PM;;$0.00;0.0;
2;A(12724|12739.25|12723|12739.25|12729.86|230);Buy to Open;0;0.0;$1.00;9/11/22, 5:02 PM;;$0.00;0.0;
3;A(12739.5|12755.5|12737.5|12753.75|12748.05|220);Buy to Open;0;0.0;$1.00;9/11/22, 5:03 PM;;$0.00;0.0;
4;A(12753.75|12754.25|12742|12743.25|12747.12|232);Buy to Open;0;0.0;$1.00;9/11/22, 5:03 PM;;$0.00;0.0;
5;A(12743.25|12754.75|12742.75|12749.25|12748.74|257);Buy to Open;0;0.0;$1.00;9/11/22, 5:04 PM;;$0.00;0.0;
6;A(12749|12753|12741|12745.5|12747.23|223);Buy to Open;0;0.0;$1.00;9/11/22, 5:05 PM;;$0.00;0.0;
7;A(12745.25|12746|12732.5|12732.5|12737.95|210);Buy to Open;0;0.0;$1.00;9/11/22, 5:07 PM;;$0.00;0.0;
8;A(12732.5|12733.75|12727|12728.25|12731.25|206);Buy to Open;0;0.0;$1.00;9/11/22, 5:09 PM;;$0.00;0.0;
9;A(12728.25|12729.5|12722.75|12727|12726.01|215);Buy to Open;0;0.0;$1.00;9/11/22, 5:12 PM;;$0.00;0.0;
10;A(12727.25|12739.5|12725.75|12737.25|12730.91|232);Buy to Open;0;0.0;$1.00;9/11/22, 5:15 PM;;$0.00;0.0;
11;A(12737|12737|12722.75|12724.5|12731.64|226);Buy to Open;0;0.0;$1.00;9/11/22, 5:16 PM;;$0.00;0.0;
12;A(12724.5|12726.75|12720|12723|12723.24|210);Buy to Open;0;0.0;$1.00;9/11/22, 5:20 PM;;$0.00;0.0;
13;A(12723|12726.5|12717.25|12717.5|12721.34|206);Buy to Open;0;0.0;$1.00;9/11/22, 5:26 PM;;$0.00;0.0;
14;A(12717.5|12720|12716.5|12717|12718.21|213);Buy to Open;0;0.0;$1.00;9/11/22, 5:36 PM;;$0.00;0.0;
15;A(12717|12728|12717|12728|12722.08|209);Buy to Open;0;0.0;$1.00;9/11/22, 5:41 PM;;$0.00;0.0;
16;A(12728|12733.25|12721|12721.25|12728.46|212);Buy to Open;0;0.0;$1.00;9/11/22, 5:49 PM;;$0.00;0.0;
17;A(12721|12723.25|12716|12721.25|12719.52|218);Buy to Open;0;0.0;$1.00;9/11/22, 5:57 PM;;$0.00;0.0;
18;A(12720.75|12721.5|12709.25|12709.25|12716.02|223);Buy to Open;0;0.0;$1.00;9/11/22, 6:06 PM;;$0.00;0.0;
19;A(12709|12710.75|12704|12704.25|12708.22|240);Buy to Open;0;0.0;$1.00;9/11/22, 6:15 PM;;$0.00;0.0;
20;A(12704.25|12711.75|12704|12711.25|12707.02|210);Buy to Open;0;0.0;$1.00;9/11/22, 6:17 PM;;$0.00;0.0;
21;A(12710.5|12720|12707.25|12718.75|12713.41|216);Buy to Open;0;0.0;$1.00;9/11/22, 6:29 PM;;$0.00;0.0;
22;A(12718.5|12718.5|12707.25|12715.75|12713.49|206);Buy to Open;0;0.0;$1.00;9/11/22, 6:37 PM;;$0.00;0.0;
