Strategy report
Symbol: /NQ:XCME
Work Time: 12/11/22, 5:01 PM - 12/16/22, 3:56 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(11677.25|11683.25|11668|11676|11674.94|233);Buy to Open;0;0.0;$1.00;12/11/22, 5:01 PM;;$0.00;0.0;
2;A(11675.25|11676.5|11665.75|11670|11671.11|229);Buy to Open;0;0.0;$1.00;12/11/22, 5:04 PM;;$0.00;0.0;
3;A(11669.75|11669.75|11660|11668.75|11664.58|216);Buy to Open;0;0.0;$1.00;12/11/22, 5:07 PM;;$0.00;0.0;
4;A(11667.75|11667.75|11648|11651.5|11653.74|207);Buy to Open;0;0.0;$1.00;12/11/22, 5:12 PM;;$0.00;0.0;
5;A(11651.5|11656.25|11649.75|11656.25|11652.9|206);Buy to Open;0;0.0;$1.00;12/11/22, 5:15 PM;;$0.00;0.0;
6;A(11656.25|11657.5|11651.75|11655.25|11655.23|208);Buy to Open;0;0.0;$1.00;12/11/22, 5:23 PM;;$0.00;0.0;
7;A(11655.75|11655.75|11641.75|11642.25|11647.19|226);Buy to Open;0;0.0;$1.00;12/11/22, 5:31 PM;;$0.00;0.0;
8;A(11642.5|11653.75|11642.25|11652|11646.56|205);Buy to Open;0;0.0;$1.00;12/11/22, 5:36 PM;;$0.00;0.0;
9;A(11652|11653.5|11646|11646|11650.27|214);Buy to Open;0;0.0;$1.00;12/11/22, 5:41 PM;;$0.00;0.0;
10;A(11646|11654.25|11644.25|11648.75|11648.53|203);Buy to Open;0;0.0;$1.00;12/11/22, 5:51 PM;;$0.00;0.0;
11;A(11649.5|11656.25|11645.5|11653.5|11652.71|212);Buy to Open;0;0.0;$1.00;12/11/22, 6:00 PM;;$0.00;0.0;
12;A(11653.25|11654.5|11649|11653.25|11651.52|238);Buy to Open;0;0.0;$1.00;12/11/22, 6:03 PM;;$0.00;0.0;
13;A(11651.75|11658.25|11651.25|11656.25|11655.26|224);Buy to Open;0;0.0;$1.00;12/11/22, 6:08 PM;;$0.00;0.0;
14;A(11656|11662|11652.25|11661.5|11657.66|244);Buy to Open;0;0.0;$1.00;12/11/22, 6:12 PM;;$0.00;0.0;
15;A(11661.5|11666|11661.25|11663.75|11663.91|219);Buy to Open;0;0.0;$1.00;12/11/22, 6:17 PM;;$0.00;0.0;
16;A(11663.25|11667.75|11661.25|11661.25|11664.71|240);Buy to Open;0;0.0;$1.00;12/11/22, 6:22 PM;;$0.00;0.0;
17;A(11661.25|11667.5|11658.75|11664.75|11661.92|236);Buy to Open;0;0.0;$1.00;12/11/22, 6:28 PM;;$0.00;0.0;
