Strategy report
Symbol: /NQ:XCME
Work Time: 8/14/22, 5:00 PM - 8/19/22, 3:58 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(13562.5|13566.75|13553.75|13566.75|13559.77|206);Buy to Open;0;0.0;$1.00;8/14/22, 5:00 PM;;$0.00;0.0;
2;A(13567.75|13572.75|13560.25|13562.25|13565.73|211);Buy to Open;0;0.0;$1.00;8/14/22, 5:00 PM;;$0.00;0.0;
3;A(13562|13565.25|13557|13557|13560.58|220);Buy to Open;0;0.0;$1.00;8/14/22, 5:02 PM;;$0.00;0.0;
4;A(13557|13557.75|13552.25|13552.5|13554.75|235);Buy to Open;0;0.0;$1.00;8/14/22, 5:04 PM;;$0.00;0.0;
5;A(13552.75|13553.25|13545|13547.75|13548.54|230);Buy to Open;0;0.0;$1.00;8/14/22, 5:05 PM;;$0.00;0.0;
6;A(13547.75|13557|13546.5|13556|13551.19|219);Buy to Open;0;0.0;$1.00;8/14/22, 5:06 PM;;$0.00;0.0;
7;A(13556|13557.75|13549.25|13549.25|13553.47|221);Buy to Open;0;0.0;$1.00;8/14/22, 5:08 PM;;$0.00;0.0;
8;A(13549|13554.5|13546.25|13553.5|13550.55|232);Buy to Open;0;0.0;$1.00;8/14/22, 5:11 PM;;$0.00;0.0;
9;A(13553.75|13558|13548.25|13556.75|13553|214);Buy to Open;0;0.0;$1.00;8/14/22, 5:14 PM;;$0.00;0.0;
10;A(13556.75|13556.75|13551.75|13551.75|13554.52|205);Buy to Open;0;0.0;$1.00;8/14/22, 5:20 PM;;$0.00;0.0;
11;A(13551.75|13552.75|13547.5|13548.25|13549.75|226);Buy to Open;0;0.0;$1.00;8/14/22, 5:29 PM;;$0.00;0.0;
12;A(13548.25|13555|13547.5|13548.5|13550.5|216);Buy to Open;0;0.0;$1.00;8/14/22, 5:34 PM;;$0.00;0.0;
13;A(13548.5|13555|13547.75|13554.5|13551.28|242);Buy to Open;0;0.0;$1.00;8/14/22, 5:43 PM;;$0.00;0.0;
14;A(13554.75|13555|13550.5|13553.5|13552.69|228);Buy to Open;0;0.0;$1.00;8/14/22, 5:47 PM;;$0.00;0.0;
15;A(13553.5|13555|13549.75|13555|13552.31|232);Buy to Open;0;0.0;$1.00;8/14/22, 5:54 PM;;$0.00;0.0;
16;A(13555|13562|13555|13562|13558.81|208);Buy to Open;0;0.0;$1.00;8/14/22, 6:00 PM;;$0.00;0.0;
17;A(13562.25|13562.75|13558.25|13559.25|13560.38|208);Buy to Open;0;0.0;$1.00;8/14/22, 6:02 PM;;$0.00;0.0;
18;A(13559.75|13564.5|13559.25|13560.75|13561.5|210);Buy to Open;0;0.0;$1.00;8/14/22, 6:07 PM;;$0.00;0.0;
19;A(13560.5|13565.75|13559|13564.25|13562.42|208);Buy to Open;0;0.0;$1.00;8/14/22, 6:12 PM;;$0.00;0.0;
20;A(13564.5|13564.5|13555.5|13557.25|13557.97|208);Buy to Open;0;0.0;$1.00;8/14/22, 6:16 PM;;$0.00;0.0;
21;A(13556.75|13560|13553.25|13553.25|13556|209);Buy to Open;0;0.0;$1.00;8/14/22, 6:24 PM;;$0.00;0.0;
22;A(13553.75|13557|13551|13555.25|13553.96|206);Buy to Open;0;0.0;$1.00;8/14/22, 6:29 PM;;$0.00;0.0;
23;A(13555|13556|13550.25|13554.75|13553.09|208);Buy to Open;0;0.0;$1.00;8/14/22, 6:35 PM;;$0.00;0.0;
24;A(13555|13555|13548.25|13550.25|13550.88|206);Buy to Open;0;0.0;$1.00;8/14/22, 6:43 PM;;$0.00;0.0;
25;A(13550.5|13552.75|13546.5|13546.5|13549.02|205);Buy to Open;0;0.0;$1.00;8/14/22, 6:48 PM;;$0.00;0.0;
26;A(13546.5|13549.5|13545.25|13547|13547.11|220);Buy to Open;0;0.0;$1.00;8/14/22, 6:53 PM;;$0.00;0.0;
27;A(13546.75|13547.75|13541.5|13542.25|13544.91|229);Buy to Open;0;0.0;$1.00;8/14/22, 6:57 PM;;$0.00;0.0;
28;A(13542|13545|13538.5|13544|13541.7|209);Buy to Open;0;0.0;$1.00;8/14/22, 6:58 PM;;$0.00;0.0;
29;A(13544|13548.25|13542.25|13546|13545.56|217);Buy to Open;0;0.0;$1.00;8/14/22, 7:00 PM;;$0.00;0.0;
30;A(13545.75|13549|13544.75|13544.75|13546.97|211);Buy to Open;0;0.0;$1.00;8/14/22, 7:03 PM;;$0.00;0.0;
31;A(13544.25|13545.75|13542|13544.75|13543.98|215);Buy to Open;0;0.0;$1.00;8/14/22, 7:06 PM;;$0.00;0.0;
32;A(13544.75|13550|13541|13548.75|13546.48|210);Buy to Open;0;0.0;$1.00;8/14/22, 7:10 PM;;$0.00;0.0;
33;A(13549|13555.5|13549|13555.5|13552.05|211);Buy to Open;0;0.0;$1.00;8/14/22, 7:15 PM;;$0.00;0.0;
34;A(13555.5|13558|13553.25|13556.75|13555.41|221);Buy to Open;0;0.0;$1.00;8/14/22, 7:16 PM;;$0.00;0.0;
35;A(13556.75|13556.75|13549.25|13549.25|13553.05|218);Buy to Open;0;0.0;$1.00;8/14/22, 7:18 PM;;$0.00;0.0;
36;A(13549|13553.25|13546.5|13547.25|13548.84|223);Buy to Open;0;0.0;$1.00;8/14/22, 7:21 PM;;$0.00;0.0;
37;A(13547.5|13547.5|13542.75|13544|13544.93|211);Buy to Open;0;0.0;$1.00;8/14/22, 7:25 PM;;$0.00;0.0;
38;A(13544|13546.75|13542.5|13544.75|13544.42|218);Buy to Open;0;0.0;$1.00;8/14/22, 7:28 PM;;$0.00;0.0;
39;A(13544.75|13547.75|13541.75|13541.75|13545.26|207);Buy to Open;0;0.0;$1.00;8/14/22, 7:35 PM;;$0.00;0.0;
40;A(13541.5|13544.25|13540|13543.75|13542.17|211);Buy to Open;0;0.0;$1.00;8/14/22, 7:40 PM;;$0.00;0.0;
41;A(13543.25|13546.75|13542.5|13546.25|13545.1|230);Buy to Open;0;0.0;$1.00;8/14/22, 7:43 PM;;$0.00;0.0;
42;A(13546.25|13551.25|13544.75|13549|13547.83|214);Buy to Open;0;0.0;$1.00;8/14/22, 7:48 PM;;$0.00;0.0;
43;A(13549.5|13554.25|13547.25|13548|13550.92|219);Buy to Open;0;0.0;$1.00;8/14/22, 7:52 PM;;$0.00;0.0;
44;A(13548|13549.75|13539.25|13540|13544.1|232);Buy to Open;0;0.0;$1.00;8/14/22, 7:59 PM;;$0.00;0.0;
45;A(13540|13544|13536|13536|13540.67|221);Buy to Open;0;0.0;$1.00;8/14/22, 8:05 PM;;$0.00;0.0;
46;A(13536|13541.5|13535.25|13538.25|13538.45|241);Buy to Open;0;0.0;$1.00;8/14/22, 8:07 PM;;$0.00;0.0;
47;A(13538.5|13538.5|13533|13533.25|13534.87|226);Buy to Open;0;0.0;$1.00;8/14/22, 8:09 PM;;$0.00;0.0;
48;A(13533.25|13535.5|13530|13533.75|13533.19|217);Buy to Open;0;0.0;$1.00;8/14/22, 8:11 PM;;$0.00;0.0;
49;A(13533.75|13535.5|13531.5|13532.5|13533.48|206);Buy to Open;0;0.0;$1.00;8/14/22, 8:14 PM;;$0.00;0.0;
50;A(13532.5|13536|13529.25|13532.75|13532.82|213);Buy to Open;0;0.0;$1.00;8/14/22, 8:17 PM;;$0.00;0.0;
51;A(13532.75|13540|13532.75|13538.25|13536.43|215);Buy to Open;0;0.0;$1.00;8/14/22, 8:21 PM;;$0.00;0.0;
52;A(13538|13541.5|13537.75|13540.75|13540.03|225);Buy to Open;0;0.0;$1.00;8/14/22, 8:25 PM;;$0.00;0.0;
53;A(13541|13546.5|13540.25|13545|13543.29|213);Buy to Open;0;0.0;$1.00;8/14/22, 8:29 PM;;$0.00;0.0;
54;A(13545|13548.25|13542.5|13546.5|13545.4|208);Buy to Open;0;0.0;$1.00;8/14/22, 8:31 PM;;$0.00;0.0;
55;A(13546.5|13551|13545.5|13550|13548.08|212);Buy to Open;0;0.0;$1.00;8/14/22, 8:33 PM;;$0.00;0.0;
56;A(13550|13553.5|13549|13551|13551.84|209);Buy to Open;0;0.0;$1.00;8/14/22, 8:36 PM;;$0.00;0.0;
57;A(13550.5|13553|13547|13551.75|13549.58|211);Buy to Open;0;0.0;$1.00;8/14/22, 8:37 PM;;$0.00;0.0;
58;A(13552|13555|13550.25|13552.5|13552.64|207);Buy to Open;0;0.0;$1.00;8/14/22, 8:41 PM;;$0.00;0.0;
