Strategy report
Symbol: /NQ:XCME
Work Time: 3/12/23, 5:00 PM - 3/17/23, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;A(12036.75|12041|12019.5|12024|12029.07|219);Buy to Open;0;0.0;$1.00;3/12/23, 5:00 PM;;$0.00;0.0;
2;A(12022|12028.5|12011.75|12011.75|12019.02|209);Buy to Open;0;0.0;$1.00;3/12/23, 5:00 PM;;$0.00;0.0;
3;A(12011.75|12011.75|11991|11997.5|12003.33|233);Buy to Open;0;0.0;$1.00;3/12/23, 5:01 PM;;$0.00;0.0;
4;A(11998|11998|11983.5|11986.25|11989.54|207);Buy to Open;0;0.0;$1.00;3/12/23, 5:01 PM;;$0.00;0.0;
5;A(11986.25|12015|11982.75|12014|11998.85|229);Buy to Open;0;0.0;$1.00;3/12/23, 5:02 PM;;$0.00;0.0;
6;A(12012.75|12019.75|12006.25|12009.5|12013.52|212);Buy to Open;0;0.0;$1.00;3/12/23, 5:02 PM;;$0.00;0.0;
7;A(12009.75|12018.5|12001.75|12002|12009.84|214);Buy to Open;0;0.0;$1.00;3/12/23, 5:04 PM;;$0.00;0.0;
8;A(12002.5|12002.5|11976|11992.75|11987.32|253);Buy to Open;0;0.0;$1.00;3/12/23, 5:05 PM;;$0.00;0.0;
9;A(11993.25|12014.25|11993.25|12012.75|12007.04|212);Buy to Open;0;0.0;$1.00;3/12/23, 5:05 PM;;$0.00;0.0;
10;A(12013.75|12029.25|12013.75|12022.75|12020.71|214);Buy to Open;0;0.0;$1.00;3/12/23, 5:06 PM;;$0.00;0.0;
11;A(12023|12024.5|11991.75|11992.25|12006.12|220);Buy to Open;0;0.0;$1.00;3/12/23, 5:06 PM;;$0.00;0.0;
12;A(11992.25|12023.5|11990.75|12023.5|12004.77|206);Buy to Open;0;0.0;$1.00;3/12/23, 5:07 PM;;$0.00;0.0;
13;A(12023.5|12030|12018.75|12024|12023.47|207);Buy to Open;0;0.0;$1.00;3/12/23, 5:09 PM;;$0.00;0.0;
14;A(12024.5|12047|12023.25|12035.25|12036.69|208);Buy to Open;0;0.0;$1.00;3/12/23, 5:10 PM;;$0.00;0.0;
15;A(12035.5|12035.5|11991|11999|12009.1|219);Buy to Open;0;0.0;$1.00;3/12/23, 5:11 PM;;$0.00;0.0;
16;A(11999.5|12028.25|11997.75|12020.5|12011.67|216);Buy to Open;0;0.0;$1.00;3/12/23, 5:12 PM;;$0.00;0.0;
17;A(12022.25|12034|12004.25|12005|12024.86|219);Buy to Open;0;0.0;$1.00;3/12/23, 5:14 PM;;$0.00;0.0;
18;A(12005.5|12080.5|12005.5|12072.25|12055.26|222);Buy to Open;0;0.0;$1.00;3/12/23, 5:15 PM;;$0.00;0.0;
19;A(12072.25|12078.5|12018.5|12022.75|12052.73|208);Buy to Open;0;0.0;$1.00;3/12/23, 5:15 PM;;$0.00;0.0;
20;A(12025.5|12060|12016|12043.25|12034.25|210);Buy to Open;0;0.0;$1.00;3/12/23, 5:15 PM;;$0.00;0.0;
